1   , 18C               , 1       , 1      , $0.0059    , N/A        , N/A      , 55.09 k   

 2   , 1ST               , 1       , 1      , $0.1289    , $0.1304    , 1%       , 9.32 k    

 3   , 1WO               , 3       , 1      , $0.0251    , $0.0249    , -1%      , 73.57     

 4   , ABT               , 1       , 1      , $0.2291    , $0.2274    , -1%      , 170.10 k  

 5   , ADA               , 21      , 5      , $0.0513    , $0.0509    , -1%      , 22.97 m   

 6   , ADH               , 3       , 1      , $0.0038    , $0.0037    , -1%      , 1.63 k    

 7   , ADT               , 3       , 2      , $0.0039    , $0.0039    , 0%       , 26.19 k   

 8   , ADX               , 9       , 4      , $0.0970    , $0.0961    , -1%      , 773.69 k  

 9   , AE                , 5       , 2      , $0.2843    , $0.2828    , -1%      , 760.52 k  

 10  , AEON              , 1       , 1      , $0.7290    , N/A        , N/A      , 15.45 k   

 11  , AERGO             , 3       , 2      , $0.1015    , $0.1008    , -1%      , 192.50 k  

 12  , AGI               , 3       , 1      , $0.0338    , $0.0333    , -2%      , 1.17 m    

 13  , AID               , 2       , 2      , $0.0129    , $0.0127    , -2%      , 2.33 k    

 14  , AIDOC             , 2       , 1      , $0.0039    , $0.0044    , 11%      , 135.21 k  

 15  , AION              , 3       , 1      , $0.0850    , $0.0826    , -3%      , 566.75 k  

 16  , AKRO              , 1       , 1      , $0.0222    , $0.0219    , -2%      , 1.27 m    

 17  , ALGO              , 7       , 2      , $0.6877    , $0.6810    , -1%      , 7.29 m    

 18  , AMB               , 3       , 1      , $0.0274    , $0.0271    , -1%      , 168.58 k  

 19  , AMLT              , 3       , 1      , $0.0065    , $0.0086    , 25%      , 230.16    

 20  , AMP               , 2       , 2      , $0.0060    , $0.0059    , -1%      , 2.65 k    

 21  , ANKR              , 10      , 3      , $0.0066    , $0.0065    , -1%      , 17.11 m   

 22  , ANT               , 4       , 2      , $0.7872    , $0.7796    , -1%      , 8.89 k    

 23  , APPC              , 4       , 2      , $0.0386    , $0.0385    , 0%       , 303.18 k  

 24  , ARDR              , 8       , 5      , $0.0642    , $0.0638    , -1%      , 285.88 k  

 25  , ARK               , 5       , 3      , $0.2742    , $0.2715    , -1%      , 457.27 k  

 26  , ARN               , 2       , 1      , $0.2445    , $0.2423    , -1%      , 373.70 k  

 27  , ART               , 1       , 1      , $0.1093    , N/A        , N/A      , 827.21    

 28  , AST               , 3       , 2      , $0.0302    , $0.0300    , -1%      , 261.03 k  

 29  , ATOM              , 16      , 5      , $3.47      , $3.44      , -1%      , 5.51 m    

 30  , ATP               , 1       , 1      , $0.0120    , N/A        , N/A      , 2.80 k    

 31  , BAT               , 25      , 7      , $0.2186    , $0.2170    , -1%      , 9.02 m    

 32  , BAY               , 2       , 2      , $0.0039    , $0.0038    , -3%      , 155.94 k  

 33  , BCD               , 2       , 1      , $0.7651    , $0.7649    , 0%       , 111.72 k  

 34  , BCH               , 40      , 11     , $334.79    , $333.86    , 0%       , 38.98 m   

 35  , BCN               , 2       , 1      , $0.0006    , $0.0006    , -1%      , 27.82 k   

 36  , BCPT              , 8       , 3      , $0.0351    , $0.0346    , -1%      , 200.99 k  

